Name,Input List,RDF Peak,RG AVG,RG STD,Area AVG,Area STD
9EESS,"[(1, 'E4'), (2, 'E4'), (3, 'S5'), (4, 'S5'), (5, 'E4'), (6, 'E4'), (7, 'S5'), (8, 'S5'), (9, 'E4'), (10, 'E4'), (11, 'S5'), (12, 'S5'), (13, 'E4'), (14, 'E4'), (15, 'S5'), (16, 'S5'), (17, 'E4'), (18, 'E4'), (19, 'S5'), (20, 'S5')]",1.73,19.729,0.156,20171.97,308.55
10-0,"[(1, 'E10'), (2, 'E10'), (3, 'E10'), (4, 'E10'), (5, 'E0'), (6, 'E0'), (7, 'E0'), (8, 'E0'), (9, 'E0'), (10, 'E0'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",2.127,20.146,0.222,13644.8,429.53
20-0,"[(1, 'E20'), (2, 'E20'), (3, 'E0'), (4, 'E0'), (5, 'E0'), (6, 'E0'), (7, 'E0'), (8, 'E0'), (9, 'E0'), (10, 'E0'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",2.392,21.876,0.23,12832.91,688.65
30-10,"[(1, 'E30'), (2, 'E10'), (3, 'E0'), (4, 'E0'), (5, 'E0'), (6, 'E0'), (7, 'E0'), (8, 'E0'), (9, 'E0'), (10, 'E0'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",2.42,22.552,0.284,13669.69,1026.7
40_0,"[(1, 'E40'), (2, 'E0'), (3, 'E0'), (4, 'E0'), (5, 'E0'), (6, 'E0'), (7, 'E0'), (8, 'E0'), (9, 'E0'), (10, 'E0'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",2.539,23.019,0.46,13120.02,953
40-diblock-4-4,"[(1, 'E4'), (2, 'E4'), (3, 'E4'), (4, 'E4'), (5, 'E4'), (6, 'E4'), (7, 'E4'), (8, 'E4'), (9, 'E4'), (10, 'E4'), (11, 'E4'), (12, 'E4'), (13, 'E4'), (14, 'E4'), (15, 'E4'), (16, 'E4'), (17, 'E4'), (18, 'E4'), (19, 'E4'), (20, 'E4'), (21, 'S5'), (22, 'S5'), (23, 'S5'), (24, 'S5'), (25, 'S5'), (26, 'S5'), (27, 'S5'), (28, 'S5'), (29, 'S5'), (30, 'S5'), (31, 'S5'), (32, 'S5'), (33, 'S5'), (34, 'S5'), (35, 'S5'), (36, 'S5'), (37, 'S5'), (38, 'S5'), (39, 'S5'), (40, 'S5')]",1.694,23.313,0.229,24889.74,523.23
80_0,"[(1, 'E80'), (2, 'E0'), (3, 'E0'), (4, 'E0'), (5, 'E0'), (6, 'E0'), (7, 'E0'), (8, 'E0'), (9, 'E0'), (10, 'E0'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",2.873,29.402,1.01,21047.7,3119.43
ESS,"[(1, 'E4'), (2, 'S5'), (3, 'S5'), (4, 'E4'), (5, 'S5'), (6, 'S5'), (7, 'E4'), (8, 'S5'), (9, 'S5'), (10, 'E4'), (11, 'S5'), (12, 'S5'), (13, 'E4'), (14, 'S5'), (15, 'S5'), (16, 'E4'), (17, 'S5'), (18, 'S5'), (19, 'E4'), (20, 'S5')]",1.665,19.56,0.25,24040.65,374.12
ESSSS,"[(1, 'E4'), (2, 'S5'), (3, 'S5'), (4, 'S5'), (5, 'S5'), (6, 'E4'), (7, 'S5'), (8, 'S5'), (9, 'S5'), (10, 'S5'), (11, 'E4'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'E4'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",0.95,20.358,0.162,16900.26,320.32
ESSSSSS,"[(1, 'E4'), (2, 'S5'), (3, 'S5'), (4, 'S5'), (5, 'S5'), (6, 'S5'), (7, 'S5'), (8, 'E4'), (9, 'S5'), (10, 'S5'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'E4'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",1.028,20.788,0.144,17693.65,667.13
ESSSSSSSS,"[(1, 'E4'), (2, 'S5'), (3, 'S5'), (4, 'S5'), (5, 'S5'), (6, 'S5'), (7, 'S5'), (8, 'S5'), (9, 'S5'), (10, 'E4'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'E4'), (20, 'S5')]",0.916,20.371,0.137,16684.99,437.74
diblock-4-4,"[(1, 'E4'), (2, 'E4'), (3, 'E4'), (4, 'E4'), (5, 'E4'), (6, 'E4'), (7, 'E4'), (8, 'E4'), (9, 'E4'), (10, 'E4'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",1.842,18.498,0.13,14011.24,272.24
diblock-5-3,"[(1, 'E5'), (2, 'E3'), (3, 'E5'), (4, 'E3'), (5, 'E5'), (6, 'E3'), (7, 'E5'), (8, 'E3'), (9, 'E5'), (10, 'E3'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",1.81,18.75,0.137,13813.43,337.02
diblock-6-2,"[(1, 'E6'), (2, 'E2'), (3, 'E6'), (4, 'E2'), (5, 'E6'), (6, 'E2'), (7, 'E6'), (8, 'E2'), (9, 'E6'), (10, 'E2'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",1.858,19.168,0.132,13816.09,344.94
diblock-7-1,"[(1, 'E7'), (2, 'E1'), (3, 'E7'), (4, 'E1'), (5, 'E7'), (6, 'E1'), (7, 'E7'), (8, 'E1'), (9, 'E7'), (10, 'E1'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",1.89,19.439,0.222,13566.43,370.34
diblock-8-0,"[(1, 'E8'), (2, 'E0'), (3, 'E8'), (4, 'E0'), (5, 'E8'), (6, 'E0'), (7, 'E8'), (8, 'E0'), (9, 'E8'), (10, 'E0'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",2.028,19.617,0.149,13782.46,418.53
janus-4-4,"[(1, 'E4'), (2, 'S5'), (3, 'E4'), (4, 'S5'), (5, 'E4'), (6, 'S5'), (7, 'E4'), (8, 'S5'), (9, 'E4'), (10, 'S5'), (11, 'E4'), (12, 'S5'), (13, 'E4'), (14, 'S5'), (15, 'E4'), (16, 'S5'), (17, 'E4'), (18, 'S5'), (19, 'E4'), (20, 'S5')]",1.782,19.999,0.177,20668.55,357.63
diblock-11111-77777,"[(1, 'E1'), (2, 'E1'), (3, 'E1'), (4, 'E1'), (5, 'E1'), (6, 'E7'), (7, 'E7'), (8, 'E7'), (9, 'E7'), (10, 'E7'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",1.889,18.655,0.195,14067.63,363.37
diblock-77777-11111,"[(1, 'E7'), (2, 'E7'), (3, 'E7'), (4, 'E7'), (5, 'E7'), (6, 'E1'), (7, 'E1'), (8, 'E1'), (9, 'E1'), (10, 'E1'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",1.865,19.228,0.143,13758.37,397.88
diblock-1111111111,"[(1, 'E1'), (2, 'E1'), (3, 'E1'), (4, 'E1'), (5, 'E1'), (6, 'E1'), (7, 'E1'), (8, 'E1'), (9, 'E1'), (10, 'E1'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",0.932,17.679,0.153,12054.8,383.91
diblock-7777777777,"[(1, 'E7'), (2, 'E7'), (3, 'E7'), (4, 'E7'), (5, 'E7'), (6, 'E7'), (7, 'E7'), (8, 'E7'), (9, 'E7'), (10, 'E7'), (11, 'S5'), (12, 'S5'), (13, 'S5'), (14, 'S5'), (15, 'S5'), (16, 'S5'), (17, 'S5'), (18, 'S5'), (19, 'S5'), (20, 'S5')]",1.861,19.894,0.165,16279.63,569.28
