Name,Input List,Start Frame,End Frame,Area AVG,Area STD,RDF Peak,Coordination at Minimum,RG AVG,RG STD,Run 1,Run 2
polymer28,"[(1, 'S6'), (2, 'S7'), (3, 'S7'), (4, 'S9'), (5, 'S9'), (6, 'E9'), (7, 'E2'), (8, 'S0'), (9, 'S9'), (10, 'S6'), (11, 'E9'), (12, 'E1'), (13, 'S8'), (14, 'E5'), (15, 'E0'), (16, 'S4'), (17, 'S0'), (18, 'E7'), (19, 'E2')]",767,836,17667.65,369.40,1.83,4.12,20.03,0.11,837,-
polymer30,"[(1, 'E5'), (2, 'E6'), (3, 'S3'), (4, 'S9'), (5, 'E5'), (6, 'S5'), (7, 'E4'), (8, 'E0'), (9, 'E5'), (10, 'E7'), (11, 'E0'), (12, 'S2'), (13, 'E9'), (14, 'E2')]",796,865,10419.46,386.95,1.80,4.09,16.67,0.14,866,-
polymer31,"[(1, 'S2'), (2, 'E2'), (3, 'E6'), (4, 'S4'), (5, 'S7'), (6, 'S6'), (7, 'S3'), (8, 'S6'), (9, 'E6'), (10, 'E2'), (11, 'E3'), (12, 'E8')]",200,269,11329.46,356.21,1.83,4.37,15.97,0.10,-,270
polymer32,"[(1, 'E1'), (2, 'E4'), (3, 'E9'), (4, 'S4'), (5, 'S8'), (6, 'S9'), (7, 'S4'), (8, 'E2'), (9, 'E1'), (10, 'S8'), (11, 'E8'), (12, 'S9'), (13, 'E6'), (14, 'E3'), (15, 'S2'), (16, 'E1'), (17, 'E3'), (18, 'E6'), (19, 'E3'), (20, 'S5')]",830,899,16818.02,330.90,1.80,4.12,18.41,0.13,900,-
polymer33,"[(1, 'E8'), (2, 'S5'), (3, 'E2'), (4, 'S9'), (5, 'E1'), (6, 'S4'), (7, 'E1'), (8, 'S2'), (9, 'S3'), (10, 'S9'), (11, 'S4'), (12, 'E2'), (13, 'S8'), (14, 'E8'), (15, 'E2'), (16, 'E4'), (17, 'E7')]",830,899,14005.38,370.36,1.75,4.07,18.71,0.23,900,-
polymer34,"[(1, 'E3'), (2, 'E1'), (3, 'S4'), (4, 'E1'), (5, 'E2'), (6, 'S4'), (7, 'E4'), (8, 'S5'), (9, 'S2'), (10, 'E4'), (11, 'S1'), (12, 'S2'), (13, 'S7'), (14, 'S8'), (15, 'S7')]",830,899,11259.11,258.69,1.62,3.66,17.88,0.14,900,-
polymer35,"[(1, 'S3'), (2, 'S2'), (3, 'E5'), (4, 'S9'), (5, 'S5'), (6, 'S5'), (7, 'E6'), (8, 'E7'), (9, 'E2'), (10, 'E0'), (11, 'S4'), (12, 'S8'), (13, 'S7'), (14, 'S4'), (15, 'S9')]",830,899,14605.78,278.04,1.89,4.04,19.27,0.21,900,-
polymer36,"[(1, 'E4'), (2, 'E2'), (3, 'S9'), (4, 'E7'), (5, 'S1'), (6, 'S6'), (7, 'S9'), (8, 'S4'), (9, 'S9'), (10, 'E5'), (11, 'E8'), (12, 'E2'), (13, 'S1'), (14, 'S6'), (15, 'S9'), (16, 'E6'), (17, 'E7')]",830,899,17406.27,306.41,1.87,4.15,18.67,0.14,900,-
polymer37,"[(1, 'S4'), (2, 'E0'), (3, 'E6'), (4, 'E6'), (5, 'E3'), (6, 'E7'), (7, 'S7'), (8, 'E1'), (9, 'S2'), (10, 'S1'), (11, 'S7'), (12, 'S9'), (13, 'S4'), (14, 'E2'), (15, 'S9'), (16, 'E7')]",830,899,13777.22,373.51,1.87,4.01,18.23,0.20,900,-
polymer38,"[(1, 'E1'), (2, 'S9'), (3, 'S9'), (4, 'S6'), (5, 'S8'), (6, 'S9'), (7, 'E6'), (8, 'E7'), (9, 'S3'), (10, 'E8'), (11, 'E3'), (12, 'E3'), (13, 'E9'), (14, 'S4')]",830,899,13726.07,324.50,1.91,4.44,18.92,0.13,900,-
