Name,Input List,Start Frame,End Frame,Area AVG,Area STD,RDF Peak,Coordination at Minimum,RG AVG,RG STD,Run 1,Run 2
polymerP35,"[(1, 'E2'), (2, 'E9'), (3, 'E3'), (4, 'E5'), (5, 'S4'), (6, 'S5'), (7, 'E2'), (8, 'E5'), (9, 'E2'), (10, 'E1'), (11, 'S5'), (12, 'S6')]",625,694,8863.83,328.48,1.85,4.17,16.22,0.16,695,-
polymerP36,"[(1, 'S7'), (2, 'S2'), (3, 'E1'), (4, 'S1'), (5, 'E4'), (6, 'E0'), (7, 'E4'), (8, 'E9'), (9, 'E7'), (10, 'E0'), (11, 'S6'), (12, 'E8')]",629,698,8234.59,431.92,1.94,4.38,16.50,0.17,-,699
polymerP37,"[(1, 'E4'), (2, 'S4'), (3, 'S1'), (4, 'S2'), (5, 'S2'), (6, 'E2'), (7, 'S7'), (8, 'E1'), (9, 'S9'), (10, 'E8'), (11, 'S6'), (12, 'E0'), (13, 'S4'), (14, 'S0'), (15, 'E0')]",651,720,10640.31,230.35,1.52,3.30,17.27,0.08,721,-
polymerP38,"[(1, 'S4'), (2, 'E1'), (3, 'E3'), (4, 'S6'), (5, 'E9'), (6, 'S4'), (7, 'E2'), (8, 'S1'), (9, 'S5'), (10, 'S9'), (11, 'S0'), (12, 'E3'), (13, 'S9')]",611,680,11487.92,346.70,1.68,3.75,18.35,0.14,681,-
polymerP39,"[(1, 'E5'), (2, 'S1'), (3, 'E9'), (4, 'E4'), (5, 'E3'), (6, 'E6'), (7, 'S6'), (8, 'E0'), (9, 'E7'), (10, 'S9'), (11, 'E9'), (12, 'S9'), (13, 'S7'), (14, 'S6')]",830,899,13315.25,435.07,1.92,4.20,18.33,0.13,900,-
polymerP40,"[(1, 'S7'), (2, 'E4'), (3, 'E9'), (4, 'S0'), (5, 'S7'), (6, 'E0'), (7, 'S3'), (8, 'S1'), (9, 'E9'), (10, 'S7'), (11, 'S1'), (12, 'S9'), (13, 'E5'), (14, 'S6')]",808,877,13357.27,302.83,1.80,4.04,17.96,0.12,878,-
polymerP41,"[(1, 'E4'), (2, 'E1'), (3, 'S4'), (4, 'S8'), (5, 'E9'), (6, 'S3'), (7, 'S6'), (8, 'E2'), (9, 'E7'), (10, 'E0'), (11, 'E9'), (12, 'E8'), (13, 'E0'), (14, 'E8')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP42,"[(1, 'S2'), (2, 'E6'), (3, 'E6'), (4, 'E4'), (5, 'E7'), (6, 'S3'), (7, 'E3'), (8, 'S6'), (9, 'E5'), (10, 'S7'), (11, 'E0'), (12, 'E5'), (13, 'S0'), (14, 'E3'), (15, 'E8')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP43,"[(1, 'E0'), (2, 'S8'), (3, 'E4'), (4, 'E0'), (5, 'E7'), (6, 'E0'), (7, 'S4'), (8, 'E1'), (9, 'S7'), (10, 'E7'), (11, 'E5'), (12, 'E1'), (13, 'S8'), (14, 'E6')]",830,899,11482.82,236.75,1.84,3.85,16.97,0.15,900,-
polymerP44,"[(1, 'E6'), (2, 'E1'), (3, 'S1'), (4, 'S5'), (5, 'E0'), (6, 'S8'), (7, 'S1'), (8, 'E0'), (9, 'E7'), (10, 'E4'), (11, 'S5'), (12, 'E6'), (13, 'S6')]",637,706,9958.78,251.57,1.93,4.61,16.61,0.15,-,707
polymerP45,"[(1, 'E0'), (2, 'S9'), (3, 'S1'), (4, 'E3'), (5, 'S0'), (6, 'S0'), (7, 'E6'), (8, 'E6'), (9, 'E5'), (10, 'S6'), (11, 'E4'), (12, 'S6'), (13, 'S0')]",830,899,8560.07,244.94,1.83,4.37,17.01,0.23,900,-
polymerP46,"[(1, 'E2'), (2, 'E6'), (3, 'E2'), (4, 'S4'), (5, 'E1'), (6, 'S4'), (7, 'S8'), (8, 'E3'), (9, 'E1'), (10, 'S7'), (11, 'E8'), (12, 'S0'), (13, 'S4'), (14, 'S1'), (15, 'S3')]",830,899,11798.51,291.47,1.77,3.80,16.45,0.11,900,-
polymerP47,"[(1, 'S9'), (2, 'E0'), (3, 'E2'), (4, 'E9'), (5, 'E2'), (6, 'E7'), (7, 'S6'), (8, 'E1'), (9, 'S3'), (10, 'E8'), (11, 'S2'), (12, 'E2'), (13, 'S0'), (14, 'E3'), (15, 'S9')]",NaN,NaN,nan,nan,nan,nan,nan,nan,900,900
polymerP47,"[(1, 'S9'), (2, 'E0'), (3, 'E2'), (4, 'E9'), (5, 'E2'), (6, 'E7'), (7, 'S6'), (8, 'E1'), (9, 'S3'), (10, 'E8'), (11, 'S2'), (12, 'E2'), (13, 'S0'), (14, 'E3'), (15, 'S9')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP48,"[(1, 'S7'), (2, 'E0'), (3, 'S5'), (4, 'S2'), (5, 'S3'), (6, 'E3'), (7, 'E5'), (8, 'E4'), (9, 'S4'), (10, 'E1'), (11, 'E1'), (12, 'S6')]",590,659,8971.67,257.85,1.82,4.18,16.70,0.12,-,660
polymerP49,"[(1, 'E2'), (2, 'S9'), (3, 'S6'), (4, 'S6'), (5, 'S9'), (6, 'S1'), (7, 'S9'), (8, 'E9'), (9, 'E9'), (10, 'S8'), (11, 'E8'), (12, 'S6'), (13, 'S8'), (14, 'S3'), (15, 'S8')]",830,899,19170.17,294.87,1.85,4.15,19.57,0.11,900,-
polymerP50,"[(1, 'E4'), (2, 'E4'), (3, 'S4'), (4, 'S2'), (5, 'E5'), (6, 'E6'), (7, 'S6'), (8, 'E1'), (9, 'S8'), (10, 'E3'), (11, 'E5'), (12, 'S3'), (13, 'S2'), (14, 'E8')]",674,743,11683.85,312.75,1.80,3.81,16.28,0.12,-,744
polymerP51,"[(1, 'E1'), (2, 'S4'), (3, 'E3'), (4, 'E5'), (5, 'S7'), (6, 'S1'), (7, 'E6'), (8, 'S0'), (9, 'E8'), (10, 'E3'), (11, 'S6'), (12, 'S2')]",nan,nan,nan,nan,nan,nan,nan,nan,900,900
polymerP52,"[(1, 'S3'), (2, 'E2'), (3, 'S9'), (4, 'E3'), (5, 'E6'), (6, 'E3'), (7, 'E9'), (8, 'E1'), (9, 'S4'), (10, 'E1'), (11, 'E7'), (12, 'S9'), (13, 'S9'), (14, 'E3'), (15, 'S7')]",830,899,13467.84,319.47,1.81,4.14,18.65,0.15,900,-
polymerP55,"[(1, 'S3'), (2, 'E0'), (3, 'E1'), (4, 'S8'), (5, 'E6'), (6, 'S7'), (7, 'E3'), (8, 'E1'), (9, 'S2'), (10, 'S6'), (11, 'E4'), (12, 'S0'), (13, 'E7'), (14, 'S5'), (15, 'S9')]",830,899,13611.47,322.66,1.76,3.99,17.83,0.12,900,-
polymerP56,"[(1, 'E4'), (2, 'E1'), (3, 'E7'), (4, 'E7'), (5, 'E6'), (6, 'E5'), (7, 'S3'), (8, 'E3'), (9, 'S2'), (10, 'S1'), (11, 'S1'), (12, 'E1'), (13, 'S6')]",NaN,NaN,nan,nan,nan,nan,nan,nan,900,900
polymerP56,"[(1, 'E4'), (2, 'E1'), (3, 'E7'), (4, 'E7'), (5, 'E6'), (6, 'E5'), (7, 'S3'), (8, 'E3'), (9, 'S2'), (10, 'S1'), (11, 'S1'), (12, 'E1'), (13, 'S6')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP57,"[(1, 'S1'), (2, 'E4'), (3, 'S1'), (4, 'S7'), (5, 'E3'), (6, 'S2'), (7, 'E8'), (8, 'S8'), (9, 'E7'), (10, 'S9'), (11, 'E4'), (12, 'E4'), (13, 'S9'), (14, 'S9'), (15, 'S4')]",830,899,15874.50,335.98,1.89,4.54,18.35,0.14,900,-
polymerP58,"[(1, 'E7'), (2, 'E3'), (3, 'E3'), (4, 'E5'), (5, 'S8'), (6, 'E9'), (7, 'S3'), (8, 'S2'), (9, 'S4'), (10, 'E8'), (11, 'E5')]",667,736,9680.94,373.72,1.81,3.98,15.53,0.13,-,737
polymerP59,"[(1, 'E2'), (2, 'S1'), (3, 'S2'), (4, 'S4'), (5, 'E1'), (6, 'E1'), (7, 'E8'), (8, 'S1'), (9, 'E5'), (10, 'S3'), (11, 'S7'), (12, 'S9'), (13, 'E4')]",830,899,10532.80,293.71,1.81,4.37,16.35,0.14,900,-
polymerP60,"[(1, 'E0'), (2, 'S1'), (3, 'E7'), (4, 'E5'), (5, 'S3'), (6, 'E7'), (7, 'E0'), (8, 'E4'), (9, 'E8'), (10, 'S2'), (11, 'S1'), (12, 'S8'), (13, 'S1'), (14, 'S9')]",NaN,NaN,nan,nan,nan,nan,nan,nan,900,900
polymerP60,"[(1, 'E0'), (2, 'S1'), (3, 'E7'), (4, 'E5'), (5, 'S3'), (6, 'E7'), (7, 'E0'), (8, 'E4'), (9, 'E8'), (10, 'S2'), (11, 'S1'), (12, 'S8'), (13, 'S1'), (14, 'S9')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP61,"[(1, 'E0'), (2, 'S0'), (3, 'E1'), (4, 'S1'), (5, 'S3'), (6, 'S9'), (7, 'E6'), (8, 'E0'), (9, 'E6'), (10, 'S7'), (11, 'E8'), (12, 'S5'), (13, 'E8'), (14, 'S5')]",830,899,11491.77,316.72,1.87,4.34,17.12,0.14,900,-
polymerP62,"[(1, 'S8'), (2, 'S2'), (3, 'S7'), (4, 'S0'), (5, 'S5'), (6, 'E0'), (7, 'S6'), (8, 'E8'), (9, 'E1'), (10, 'E1'), (11, 'E2'), (12, 'E0'), (13, 'S4')]",NaN,NaN,nan,nan,nan,nan,nan,nan,900,900
polymerP62,"[(1, 'S8'), (2, 'S2'), (3, 'S7'), (4, 'S0'), (5, 'S5'), (6, 'E0'), (7, 'S6'), (8, 'E8'), (9, 'E1'), (10, 'E1'), (11, 'E2'), (12, 'E0'), (13, 'S4')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP63,"[(1, 'E5'), (2, 'S9'), (3, 'S3'), (4, 'S1'), (5, 'E1'), (6, 'S4'), (7, 'S7'), (8, 'E2'), (9, 'E6'), (10, 'E2'), (11, 'S5')]",830,899,10448.51,211.52,1.72,3.81,16.58,0.27,900,-
polymerP64,"[(1, 'E2'), (2, 'S2'), (3, 'E8'), (4, 'S1'), (5, 'E0'), (6, 'E3'), (7, 'S7'), (8, 'E1'), (9, 'E8'), (10, 'S5'), (11, 'S3')]",nan,nan,nan,nan,nan,nan,nan,nan,900,900
polymerP65,"[(1, 'E8'), (2, 'E6'), (3, 'S7'), (4, 'S4'), (5, 'S9'), (6, 'S5'), (7, 'S6'), (8, 'E9'), (9, 'S8'), (10, 'S4'), (11, 'S4'), (12, 'E0'), (13, 'E0')]",830,899,14239.24,262.00,1.88,4.43,17.91,0.13,900,-
polymerP66,"[(1, 'S1'), (2, 'S5'), (3, 'E6'), (4, 'S3'), (5, 'E2'), (6, 'E6'), (7, 'S9'), (8, 'E8'), (9, 'S5'), (10, 'E5'), (11, 'E0'), (12, 'S6')]",830,899,11140.76,277.05,1.87,4.21,16.88,0.17,900,-
polymerP67,"[(1, 'E2'), (2, 'S3'), (3, 'S9'), (4, 'S9'), (5, 'S4'), (6, 'E4'), (7, 'S7'), (8, 'E9'), (9, 'S3'), (10, 'S2'), (11, 'S2'), (12, 'E0'), (13, 'S1'), (14, 'S1'), (15, 'E8')]",830,899,12141.98,321.88,1.79,4.31,17.91,0.09,900,-
polymerP68,"[(1, 'S4'), (2, 'S1'), (3, 'S9'), (4, 'S5'), (5, 'E7'), (6, 'S0'), (7, 'E6'), (8, 'E0'), (9, 'S6'), (10, 'E2'), (11, 'E0')]",795,864,9140.43,240.21,1.92,4.40,15.79,0.17,-,865
polymerP69,"[(1, 'S0'), (2, 'E4'), (3, 'E4'), (4, 'S3'), (5, 'E6'), (6, 'E4'), (7, 'S0'), (8, 'S4'), (9, 'E6'), (10, 'E8'), (11, 'S8'), (12, 'S5'), (13, 'S3'), (14, 'E3')]",662,731,10895.59,252.96,1.80,3.80,15.62,0.16,-,732
polymerP70,"[(1, 'S8'), (2, 'E0'), (3, 'E3'), (4, 'S9'), (5, 'E4'), (6, 'E7'), (7, 'S2'), (8, 'E8'), (9, 'S3'), (10, 'S3'), (11, 'S3'), (12, 'E3'), (13, 'E2'), (14, 'E3'), (15, 'S0')]",830,899,10813.43,265.73,1.83,4.36,17.01,0.20,900,-
polymerP71,"[(1, 'E6'), (2, 'S7'), (3, 'S6'), (4, 'E0'), (5, 'S6'), (6, 'S8'), (7, 'E5'), (8, 'E5'), (9, 'S8'), (10, 'S4'), (11, 'E0'), (12, 'E1'), (13, 'S8'), (14, 'E5'), (15, 'E9')]",830,899,14839.21,272.56,1.83,4.22,18.20,0.14,900,-
polymerP72,"[(1, 'S4'), (2, 'E2'), (3, 'S1'), (4, 'S1'), (5, 'S2'), (6, 'S2'), (7, 'E6'), (8, 'S5'), (9, 'E4'), (10, 'S2'), (11, 'E9'), (12, 'S0'), (13, 'S9')]",830,899,9858.17,282.65,1.71,4.02,16.09,0.17,900,-
polymerP73,"[(1, 'E9'), (2, 'S1'), (3, 'E4'), (4, 'S9'), (5, 'E3'), (6, 'E2'), (7, 'S4'), (8, 'E2'), (9, 'S2'), (10, 'E4'), (11, 'E4'), (12, 'E7'), (13, 'E6'), (14, 'S0'), (15, 'E2')]",NaN,NaN,nan,nan,nan,nan,nan,nan,900,900
polymerP73,"[(1, 'E9'), (2, 'S1'), (3, 'E4'), (4, 'S9'), (5, 'E3'), (6, 'E2'), (7, 'S4'), (8, 'E2'), (9, 'S2'), (10, 'E4'), (11, 'E4'), (12, 'E7'), (13, 'E6'), (14, 'S0'), (15, 'E2')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP74,"[(1, 'S1'), (2, 'S8'), (3, 'S2'), (4, 'S4'), (5, 'S2'), (6, 'E2'), (7, 'S6'), (8, 'S7'), (9, 'S7'), (10, 'S4'), (11, 'S3'), (12, 'S2')]",830,899,10066.48,261.70,0.41,0.54,16.90,0.17,900,-
polymerP75,"[(1, 'E9'), (2, 'E2'), (3, 'E9'), (4, 'E0'), (5, 'E6'), (6, 'S3'), (7, 'E8'), (8, 'E0'), (9, 'E3'), (10, 'E2'), (11, 'E2'), (12, 'S5'), (13, 'S8'), (14, 'S9'), (15, 'E0')]",830,899,10209.32,568.32,1.88,4.00,17.95,0.17,900,-
polymerP76,"[(1, 'S4'), (2, 'E9'), (3, 'E2'), (4, 'S1'), (5, 'S4'), (6, 'S0'), (7, 'E0'), (8, 'E6'), (9, 'E6'), (10, 'S7'), (11, 'E2')]",NaN,NaN,nan,nan,nan,nan,nan,nan,900,-
polymerP77,"[(1, 'E9'), (2, 'S8'), (3, 'E6'), (4, 'S0'), (5, 'S4'), (6, 'S3'), (7, 'E4'), (8, 'E1'), (9, 'S9'), (10, 'S2'), (11, 'E1'), (12, 'E7'), (13, 'E4'), (14, 'E0')]",830,899,10885.13,363.12,1.84,4.10,16.93,0.15,900,-
polymerP78,"[(1, 'S8'), (2, 'S3'), (3, 'E3'), (4, 'S7'), (5, 'E6'), (6, 'S8'), (7, 'S8'), (8, 'E6'), (9, 'E5'), (10, 'E6'), (11, 'S8')]",830,899,13631.04,302.72,1.89,4.34,17.45,0.12,900,-
polymerP79,"[(1, 'S7'), (2, 'E7'), (3, 'E7'), (4, 'E2'), (5, 'S7'), (6, 'E3'), (7, 'S3'), (8, 'E8'), (9, 'S1'), (10, 'E4'), (11, 'E2'), (12, 'S7'), (13, 'S0'), (14, 'E2'), (15, 'S7')]",830,899,12089.84,399.68,1.85,4.07,18.41,0.22,900,-
polymerP80,"[(1, 'E8'), (2, 'S8'), (3, 'E6'), (4, 'S6'), (5, 'E5'), (6, 'S6'), (7, 'S4'), (8, 'S2'), (9, 'E0'), (10, 'E4'), (11, 'S7'), (12, 'S2')]",830,899,12644.37,340.50,1.82,4.32,17.46,0.17,900,-
polymerP81,"[(1, 'S3'), (2, 'S9'), (3, 'S3'), (4, 'S9'), (5, 'S7'), (6, 'E4'), (7, 'E6'), (8, 'E3'), (9, 'S2'), (10, 'S6'), (11, 'S7'), (12, 'E4'), (13, 'S1')]",830,899,13595.39,331.14,1.90,4.31,17.74,0.14,900,-
polymerP82,"[(1, 'S7'), (2, 'S0'), (3, 'S7'), (4, 'E4'), (5, 'E8'), (6, 'E7'), (7, 'E8'), (8, 'E7'), (9, 'E4'), (10, 'S0'), (11, 'S4')]",nan,nan,nan,nan,nan,nan,nan,nan,900,900
polymerP83,"[(1, 'S8'), (2, 'E9'), (3, 'E7'), (4, 'E6'), (5, 'S8'), (6, 'E6'), (7, 'S8'), (8, 'E7'), (9, 'E9'), (10, 'E3'), (11, 'S3'), (12, 'S4'), (13, 'E9'), (14, 'E1'), (15, 'S8')]",830,899,15422.09,415.81,1.85,4.10,18.18,0.11,900,-
polymerP84,"[(1, 'S0'), (2, 'S2'), (3, 'S0'), (4, 'S6'), (5, 'S3'), (6, 'S2'), (7, 'E8'), (8, 'E2'), (9, 'E5'), (10, 'S9'), (11, 'S2'), (12, 'S2'), (13, 'E5')]",NaN,NaN,nan,nan,nan,nan,nan,nan,900,900
polymerP84,"[(1, 'S0'), (2, 'S2'), (3, 'S0'), (4, 'S6'), (5, 'S3'), (6, 'S2'), (7, 'E8'), (8, 'E2'), (9, 'E5'), (10, 'S9'), (11, 'S2'), (12, 'S2'), (13, 'E5')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP86,"[(1, 'E3'), (2, 'E4'), (3, 'E4'), (4, 'S9'), (5, 'E2'), (6, 'E6'), (7, 'E6'), (8, 'E4'), (9, 'E0'), (10, 'E1'), (11, 'S1')]",NaN,NaN,nan,nan,nan,nan,nan,nan,900,900
polymerP86,"[(1, 'E3'), (2, 'E4'), (3, 'E4'), (4, 'S9'), (5, 'E2'), (6, 'E6'), (7, 'E6'), (8, 'E4'), (9, 'E0'), (10, 'E1'), (11, 'S1')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP87,"[(1, 'E8'), (2, 'E0'), (3, 'S9'), (4, 'S7'), (5, 'E3'), (6, 'E4'), (7, 'E4'), (8, 'E3'), (9, 'E5'), (10, 'S7'), (11, 'S9'), (12, 'E9'), (13, 'S6'), (14, 'S6')]",830,899,14545.90,318.18,1.88,4.53,18.37,0.12,900,-
polymerP88,"[(1, 'E3'), (2, 'S4'), (3, 'S8'), (4, 'E2'), (5, 'E3'), (6, 'E6'), (7, 'E1'), (8, 'E1'), (9, 'E4'), (10, 'S0'), (11, 'E8'), (12, 'E2')]",NaN,NaN,nan,nan,nan,nan,nan,nan,900,900
polymerP88,"[(1, 'E3'), (2, 'S4'), (3, 'S8'), (4, 'E2'), (5, 'E3'), (6, 'E6'), (7, 'E1'), (8, 'E1'), (9, 'E4'), (10, 'S0'), (11, 'E8'), (12, 'E2')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP89,"[(1, 'S7'), (2, 'E9'), (3, 'S3'), (4, 'E2'), (5, 'S9'), (6, 'S1'), (7, 'E6'), (8, 'S6'), (9, 'E5'), (10, 'S1'), (11, 'E6'), (12, 'E6')]",830,899,10805.96,318.20,1.87,4.26,17.26,0.14,900,-
polymerP90,"[(1, 'S6'), (2, 'S4'), (3, 'S6'), (4, 'S6'), (5, 'E8'), (6, 'E6'), (7, 'S2'), (8, 'E7'), (9, 'E3'), (10, 'E8'), (11, 'E5')]",830,899,9986.47,364.35,1.93,4.06,17.01,0.10,900,-
polymerP91,"[(1, 'S7'), (2, 'S1'), (3, 'E8'), (4, 'S9'), (5, 'E2'), (6, 'E6'), (7, 'E1'), (8, 'E0'), (9, 'E7'), (10, 'S6'), (11, 'E3')]",557,626,9555.35,261.23,1.80,4.12,15.53,0.12,-,627
polymerP92,"[(1, 'E0'), (2, 'S4'), (3, 'S6'), (4, 'E9'), (5, 'E8'), (6, 'S3'), (7, 'S3'), (8, 'S3'), (9, 'E9'), (10, 'S7'), (11, 'S9'), (12, 'E3'), (13, 'S5'), (14, 'S5'), (15, 'E9')]",830,899,16655.62,432.81,1.96,4.40,18.13,0.16,900,-
polymerP93,"[(1, 'S6'), (2, 'E1'), (3, 'E5'), (4, 'S3'), (5, 'E9'), (6, 'E4'), (7, 'E3'), (8, 'E5'), (9, 'E6'), (10, 'E1'), (11, 'E8'), (12, 'S7'), (13, 'S1'), (14, 'E5')]",650,719,10532.73,368.08,1.73,3.89,15.65,0.16,-,720
polymerP94,"[(1, 'S8'), (2, 'E7'), (3, 'E7'), (4, 'S7'), (5, 'E2'), (6, 'S9'), (7, 'E0'), (8, 'S5'), (9, 'S8'), (10, 'S2'), (11, 'E4'), (12, 'E5'), (13, 'S3'), (14, 'S2'), (15, 'S9')]",830,899,14720.02,342.73,1.66,3.60,19.16,0.14,900,-
polymerP95,"[(1, 'S4'), (2, 'S4'), (3, 'E5'), (4, 'E1'), (5, 'E1'), (6, 'S6'), (7, 'S2'), (8, 'E2'), (9, 'S6'), (10, 'S3'), (11, 'E5'), (12, 'S3')]",673,742,10374.78,239.74,1.46,3.32,16.02,0.17,-,743
polymerP96,"[(1, 'E8'), (2, 'S4'), (3, 'S3'), (4, 'E7'), (5, 'E5'), (6, 'E1'), (7, 'E2'), (8, 'S4'), (9, 'S6'), (10, 'E1'), (11, 'S0'), (12, 'S2')]",705,774,8686.05,335.59,1.88,4.29,15.21,0.12,-,775
polymerP97,"[(1, 'E5'), (2, 'E5'), (3, 'S4'), (4, 'E5'), (5, 'S2'), (6, 'E4'), (7, 'S6'), (8, 'E0'), (9, 'E6'), (10, 'S8'), (11, 'E2'), (12, 'S8')]",830,899,10404.77,324.08,1.79,3.84,17.82,0.15,900,-
polymerP98,"[(1, 'S8'), (2, 'E6'), (3, 'S4'), (4, 'E9'), (5, 'E8'), (6, 'E1'), (7, 'E4'), (8, 'E8'), (9, 'E6'), (10, 'E4'), (11, 'E2')]",NaN,NaN,nan,nan,nan,nan,nan,nan,900,900
polymerP98,"[(1, 'S8'), (2, 'E6'), (3, 'S4'), (4, 'E9'), (5, 'E8'), (6, 'E1'), (7, 'E4'), (8, 'E8'), (9, 'E6'), (10, 'E4'), (11, 'E2')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP99,"[(1, 'E9'), (2, 'E6'), (3, 'E1'), (4, 'E8'), (5, 'S6'), (6, 'E3'), (7, 'S2'), (8, 'E1'), (9, 'E0'), (10, 'S5'), (11, 'E5'), (12, 'S7'), (13, 'E4'), (14, 'E0')]",830,899,10487.61,446.21,1.85,4.24,16.21,0.15,900,-
polymerP100,"[(1, 'E9'), (2, 'S4'), (3, 'S1'), (4, 'S9'), (5, 'E7'), (6, 'E5'), (7, 'S1'), (8, 'S4'), (9, 'E9'), (10, 'S6'), (11, 'S8')]",830,899,11561.05,328.16,1.97,4.56,17.77,0.14,900,-
polymerP101,"[(1, 'S5'), (2, 'E0'), (3, 'E9'), (4, 'S5'), (5, 'E3'), (6, 'E2'), (7, 'E6'), (8, 'E6'), (9, 'E2'), (10, 'E4'), (11, 'E1'), (12, 'E7')]",NaN,NaN,nan,nan,nan,nan,nan,nan,900,900
polymerP101,"[(1, 'S5'), (2, 'E0'), (3, 'E9'), (4, 'S5'), (5, 'E3'), (6, 'E2'), (7, 'E6'), (8, 'E6'), (9, 'E2'), (10, 'E4'), (11, 'E1'), (12, 'E7')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP102,"[(1, 'E4'), (2, 'S6'), (3, 'E7'), (4, 'S0'), (5, 'E6'), (6, 'E2'), (7, 'S8'), (8, 'E9'), (9, 'S2'), (10, 'E1'), (11, 'S1')]",NaN,NaN,nan,nan,nan,nan,nan,nan,900,900
polymerP102,"[(1, 'E4'), (2, 'S6'), (3, 'E7'), (4, 'S0'), (5, 'E6'), (6, 'E2'), (7, 'S8'), (8, 'E9'), (9, 'S2'), (10, 'E1'), (11, 'S1')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP103,"[(1, 'E1'), (2, 'E0'), (3, 'S8'), (4, 'S3'), (5, 'S1'), (6, 'E0'), (7, 'S4'), (8, 'S9'), (9, 'S5'), (10, 'S0'), (11, 'S3'), (12, 'S5')]",693,762,8295.36,225.96,0.66,1.39,17.20,0.14,-,763
polymerP104,"[(1, 'S5'), (2, 'E5'), (3, 'S9'), (4, 'S7'), (5, 'E6'), (6, 'E1'), (7, 'S6'), (8, 'E5'), (9, 'S8'), (10, 'E0'), (11, 'E0'), (12, 'S1')]",830,899,11943.20,260.12,1.86,4.14,17.02,0.15,900,-
polymerP105,"[(1, 'E2'), (2, 'S7'), (3, 'E0'), (4, 'E5'), (5, 'S2'), (6, 'S4'), (7, 'E0'), (8, 'E2'), (9, 'S1'), (10, 'E0'), (11, 'S2'), (12, 'S5'), (13, 'E1')]",830,899,7348.51,209.43,1.41,3.05,16.68,0.10,-,900
polymerP106,"[(1, 'E4'), (2, 'E2'), (3, 'S6'), (4, 'S7'), (5, 'S6'), (6, 'S4'), (7, 'S0'), (8, 'S7'), (9, 'S2'), (10, 'S0'), (11, 'S5')]",830,899,9524.74,246.10,1.85,4.69,17.40,0.13,900,-
polymerP107,"[(1, 'E7'), (2, 'S4'), (3, 'S8'), (4, 'S2'), (5, 'S0'), (6, 'S3'), (7, 'E9'), (8, 'S2'), (9, 'E5'), (10, 'S8'), (11, 'E5'), (12, 'E5'), (13, 'E1'), (14, 'S0'), (15, 'E5')]",nan,nan,nan,nan,nan,nan,nan,nan,900,900
polymerP108,"[(1, 'S6'), (2, 'S6'), (3, 'E8'), (4, 'E6'), (5, 'S2'), (6, 'E3'), (7, 'E9'), (8, 'E8'), (9, 'S2'), (10, 'E2'), (11, 'E7'), (12, 'S0'), (13, 'S2'), (14, 'S8'), (15, 'S9')]",830,899,12090.88,356.59,1.94,4.44,18.65,0.13,900,-
polymerP109,"[(1, 'E0'), (2, 'E9'), (3, 'E0'), (4, 'S0'), (5, 'E0'), (6, 'S3'), (7, 'S9'), (8, 'S3'), (9, 'S1'), (10, 'S0'), (11, 'S4'), (12, 'S3'), (13, 'S5'), (14, 'E6'), (15, 'E3')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP110,"[(1, 'S4'), (2, 'E6'), (3, 'E1'), (4, 'E3'), (5, 'S7'), (6, 'E0'), (7, 'E4'), (8, 'E8'), (9, 'S3'), (10, 'E2'), (11, 'E1')]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900,900
polymerP111,"[(1, 'E7'), (2, 'S6'), (3, 'S9'), (4, 'E2'), (5, 'S7'), (6, 'E9'), (7, 'E3'), (8, 'E3'), (9, 'S3'), (10, 'S8'), (11, 'S4'), (12, 'E6')]",830,899,12984.61,341.12,1.92,4.47,17.31,0.13,900,-
polymerP112,"[(1, 'S1'), (2, 'E7'), (3, 'S2'), (4, 'E5'), (5, 'E7'), (6, 'E7'), (7, 'E4'), (8, 'E3'), (9, 'S9'), (10, 'E3'), (11, 'S7'), (12, 'S4'), (13, 'E6'), (14, 'S8'), (15, 'E5')]",830,899,12853.01,374.16,1.84,3.99,16.65,0.14,900,-
polymerP113,"[(1, 'S3'), (2, 'S1'), (3, 'E5'), (4, 'S9'), (5, 'E4'), (6, 'S5'), (7, 'S7'), (8, 'S8'), (9, 'E4'), (10, 'S0'), (11, 'S6'), (12, 'E5'), (13, 'S4'), (14, 'S4'), (15, 'E8')]",830,899,15501.41,371.05,1.76,3.98,18.61,0.17,900,-
